MatchDate,MatchLink,Latitude,Longitude,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,error
2018-11-18,https://www.espncricinfo.com/ci/engine/match/1162643.html,-29.8587,31.0292,22.4,18.6,7.0,14.5,55.0,
2024-10-12,https://www.espncricinfo.com/ci/engine/match/1444782.html,-33.9608,25.6022,22.8,14.3,0.0,24.1,3.0,
2021-01-16,https://www.espncricinfo.com/ci/engine/match/1244369.html,22.3072,73.1812,29.3,15.9,0.0,8.6,0.0,
2022-10-14,https://www.espncricinfo.com/ci/engine/match/1332970.html,22.7196,75.8577,28.5,17.2,0.0,12.7,0.0,
2022-10-22,https://www.espncricinfo.com/ci/engine/match/1333041.html,22.7196,75.8577,29.6,17.9,0.0,13.7,0.0,
2023-10-21,https://www.espncricinfo.com/ci/engine/match/1383492.html,19.076,72.8777,35.0,24.1,0.1,12.3,51.0,
2024-11-23,https://www.espncricinfo.com/ci/engine/match/1445981.html,19.076,72.8777,32.1,21.7,0.0,10.1,3.0,
2023-10-23,https://www.espncricinfo.com/ci/engine/match/1383509.html,26.9124,75.7873,31.3,19.0,0.0,13.8,1.0,
2019-11-14,https://www.espncricinfo.com/ci/engine/match/1205796.html,17.6868,83.2185,29.0,22.3,0.0,17.7,0.0,
2024-11-29,https://www.espncricinfo.com/ci/engine/match/1446029.html,22.3039,70.8022,29.7,18.8,0.0,13.6,0.0,
2023-04-24,https://www.espncricinfo.com/ci/engine/match/1339618.html,33.6844,73.0479,30.0,18.9,0.0,10.1,3.0,
2013-03-17,https://www.espncricinfo.com/ci/engine/match/576228.html,13.8486,75.705,33.4,22.6,0.0,11.0,3.0,
2015-03-28,https://www.espncricinfo.com/ci/engine/match/775991.html,9.9312,76.2673,38.5,27.7,0.3,14.1,51.0,
2007-04-04,https://www.espncricinfo.com/ci/engine/match/290540.html,18.9389,72.8265,38.8,24.2,0.0,17.1,0.0,
2011-05-02,https://www.espncricinfo.com/ci/engine/match/501238.html,28.6139,77.209,40.4,24.5,0.0,16.5,1.0,
2012-05-12,https://www.espncricinfo.com/ci/engine/match/548364.html,13.0827,80.2707,36.0,28.0,0.0,22.1,3.0,
2013-04-10,https://www.espncricinfo.com/ci/engine/match/598007.html,30.7056,76.7186,32.5,18.2,2.2,12.3,61.0,
2007-04-03,https://www.espncricinfo.com/ci/engine/match/290524.html,17.6868,83.2185,33.3,26.2,0.0,25.3,1.0,
2007-04-04,https://www.espncricinfo.com/ci/engine/match/290536.html,17.6868,83.2185,33.1,25.9,0.0,23.5,1.0,
2007-04-05,https://www.espncricinfo.com/ci/engine/match/290550.html,17.6868,83.2185,32.4,25.1,0.0,21.5,2.0,
2007-04-21,https://www.espncricinfo.com/ci/engine/match/290849.html,18.9389,72.8265,32.6,26.5,0.0,15.5,2.0,
2009-09-25,https://www.espncricinfo.com/ci/engine/match/425305.html,17.6868,83.2185,32.6,27.3,0.0,10.1,3.0,
2009-09-26,https://www.espncricinfo.com/ci/engine/match/425308.html,17.6868,83.2185,30.0,26.2,6.3,11.4,63.0,
2010-03-19,https://www.espncricinfo.com/ci/engine/match/419116.html,28.6139,77.209,34.2,19.2,0.0,15.6,0.0,
2010-04-13,https://www.espncricinfo.com/ci/engine/match/419153.html,13.0827,80.2707,35.8,28.2,0.0,23.0,3.0,
2010-09-11,https://www.espncricinfo.com/ci/engine/match/465121.html,-29.8587,31.0292,18.8,15.8,2.2,28.5,51.0,
2011-05-07,https://www.espncricinfo.com/ci/engine/match/501245.html,22.5645,88.3431,34.1,25.8,2.2,17.0,61.0,
2024-11-17,https://www.espncricinfo.com/ci/engine/match/1433377.html,14.0583,-60.9544,28.7,23.7,9.3,15.7,63.0,
2021-08-24,https://www.espncricinfo.com/ci/engine/match/1272214.html,7.2906,80.6974,28.6,19.5,0.4,17.7,51.0,
2023-08-05,https://www.espncricinfo.com/ci/engine/match/1382885.html,7.2906,80.6974,31.1,20.9,1.7,13.1,55.0,
2023-08-07,https://www.espncricinfo.com/ci/engine/match/1382887.html,7.2906,80.6974,30.6,22.5,0.0,19.7,3.0,
2024-06-24,https://www.espncricinfo.com/ci/engine/match/1432985.html,6.9271,79.8612,29.7,25.4,13.4,23.6,63.0,
2024-06-28,https://www.espncricinfo.com/ci/engine/match/1432991.html,6.9271,79.8612,29.3,24.8,8.3,14.0,61.0,
