MatchLink,TossWonTeam,TossResult,Series,MatchTime,Team1,Team2,Result,Team1Score,Team1Wickets,Team2Score,Team2Wickets
https://www.espncricinfo.com/ci/engine/match/1369580.html,Guyana Amazon Warriors,bat,Caribbean Premier League,day,Guyana Amazon Warriors,Barbados Royals,Amazon won by 3 runs,181,9,178,8
https://www.espncricinfo.com/ci/engine/match/1369587.html,Barbados Royals,field,Caribbean Premier League,night,Guyana Amazon Warriors,Barbados Royals,Amazon won by 88 runs,226,7,138,6
https://www.espncricinfo.com/ci/engine/match/1406893.html,Sharjah Warriors,field,International League T20,night,Dubai Capitals,Sharjah Warriors,Warriors won by 5 wickets (with 7 balls remaining),170,7,171,5
https://www.espncricinfo.com/ci/engine/match/1406896.html,Dubai Capitals,field,International League T20,night,Abu Dhabi Knight Riders,Dubai Capitals,DC won by 5 wickets (with 23 balls remaining),183,4,185,5
https://www.espncricinfo.com/ci/engine/match/1406899.html,Dubai Capitals,bat,International League T20,night,Dubai Capitals,Gulf Giants,Giants won by 3 wickets (with 8 balls remaining),132,7,133,7
https://www.espncricinfo.com/ci/engine/match/1406902.html,Dubai Capitals,bat,International League T20,night,Dubai Capitals,Sharjah Warriors,Warriors won by 9 wickets (with 41 balls remaining),104,10,105,1
https://www.espncricinfo.com/ci/engine/match/1406905.html,Dubai Capitals,field,International League T20,night,Desert Vipers,Dubai Capitals,DC won by 4 wickets (with 0 balls remaining),169,6,170,6
https://www.espncricinfo.com/ci/engine/match/1406908.html,Dubai Capitals,field,International League T20,night,Abu Dhabi Knight Riders,Dubai Capitals,KnightRiders won by 29 runs,183,10,154,8
https://www.espncricinfo.com/ci/engine/match/1406922.html,Dubai Capitals,field,International League T20,night,MI Emirates,Dubai Capitals,MI Emirates won by 45 runs,208,3,163,7
https://www.espncricinfo.com/ci/engine/match/1416473.html,Peshawar Zalmi,field,Pakistan Super League,day,Quetta Gladiators,Peshawar Zalmi,Gladiators won by 16 runs,206,5,190,6
https://www.espncricinfo.com/ci/engine/match/1416477.html,Karachi Kings,field,Pakistan Super League,day,Peshawar Zalmi,Karachi Kings,Kings won by 7 wickets (with 19 balls remaining),154,10,157,3
https://www.espncricinfo.com/ci/engine/match/1416480.html,Peshawar Zalmi,bat,Pakistan Super League,night,Peshawar Zalmi,Multan Sultans,Zalmi won by 5 runs,179,8,174,10
https://www.espncricinfo.com/ci/engine/match/1416483.html,Lahore Qalandars,field,Pakistan Super League,night,Peshawar Zalmi,Lahore Qalandars,Zalmi won by 8 runs,211,4,203,6
https://www.espncricinfo.com/ci/engine/match/1416484.html,Islamabad United,field,Pakistan Super League,night,Peshawar Zalmi,Islamabad United,Zalmi won by 8 runs,201,5,193,9
https://www.espncricinfo.com/ci/engine/match/1416491.html,Peshawar Zalmi,field,Pakistan Super League,night,Islamabad United,Peshawar Zalmi,United won by 29 runs,196,4,167,9
https://www.espncricinfo.com/ci/engine/match/1416492.html,Peshawar Zalmi,bat,Pakistan Super League,night,Peshawar Zalmi,Multan Sultans,Zalmi won by 4 runs,204,5,200,5
https://www.espncricinfo.com/ci/engine/match/1416496.html,Quetta Gladiators,field,Pakistan Super League,night,Peshawar Zalmi,Quetta Gladiators,Zalmi won by 76 runs,196,8,120,10
https://www.espncricinfo.com/ci/engine/match/1416500.html,Peshawar Zalmi,bat,Pakistan Super League,night,Peshawar Zalmi,Karachi Kings,Zalmi won by 2 runs,147,6,145,5
https://www.espncricinfo.com/ci/engine/match/1416502.html,Peshawar Zalmi,bat,Pakistan Super League,night,Peshawar Zalmi,Multan Sultans,Sultans won by 7 wickets (with 9 balls remaining),146,7,147,3
https://www.espncricinfo.com/ci/engine/match/1416504.html,Islamabad United,field,Pakistan Super League,night,Peshawar Zalmi,Islamabad United,United won by 5 wickets (with 6 balls remaining),185,5,189,5
https://www.espncricinfo.com/ci/engine/match/1426288.html,Sunrisers Hyderabad,bat,Indian Premier League,night,Sunrisers Hyderabad,Rajasthan Royals,SRH won by 1 run,201,3,200,7
https://www.espncricinfo.com/ci/engine/match/1417793.html,Northern Superchargers (Men),field,The Hundred Men's Competition,night,Rockets,N S-Chargers,Rockets won by 47 runs,185,5,138,8
https://www.espncricinfo.com/ci/engine/match/1417796.html,Manchester Originals (Men),field,The Hundred Men's Competition,night,Trent Rockets (Men),Manchester Originals (Men),Rockets won by 1 run,145,7,144,8
https://www.espncricinfo.com/ci/engine/match/1417798.html,Trent Rockets (Men),field,The Hundred Men's Competition,night,Birmingham Phoenix (Men),Trent Rockets (Men),Phoenix won by 6 runs,138,6,132,8
https://www.espncricinfo.com/ci/engine/match/1417803.html,Trent Rockets (Men),field,The Hundred Men's Competition,night,Welsh Fire (Men),Trent Rockets (Men),Fire won by 4 runs,129,6,125,8
https://www.espncricinfo.com/ci/engine/match/1417809.html,Trent Rockets (Men),bat,The Hundred Men's Competition,night,Trent Rockets (Men),London Spirit (Men),Rockets won by 22 runs,166,4,144,10
