Player Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Beuran Hendricks,,,,,,,PK,PK,,,,MI,,,,,,
Jonny Bairstow,,,,,,,,,,,,SRH,SRH,SRH,PK,PK,PK,
Manpreet Gony,CSK,CSK,CSK,,,PK,,,,,,,,,,,,
Pradeep Sahu,,,,,,,,RR,PK,PK,PK,,,,,,,
Prince Choudhary,,,,,,,,,,,,,,,,,PK,
T Natarajan,,,,,,,,,,PK,SRH,SRH,SRH,SRH,SRH,SRH,SRH,DC
Kuldeep Sen,,,,,,,,,,,,,,,RR,RR,RR,PK
Adam Gilchrist,,,,PK,PK,PK,,,,,,,,,,,,
Suryansh Shedge,,,,,,,,,,,,,,,,LSG,,PK
Nicholas Pooran,,,,,,,,,,MI,,PK,PK,PK,SRH,LSG,LSG,LSG
Irfan Pathan,PK,PK,PK,DC,DC,DC,SRH,CSK,,,,,,,,,,
Matt Henry,,,,,,,CSK,CSK,,PK,,,,,,,LSG,
Bipul Sharma,,,PK,PK,PK,PK,,SRH,SRH,SRH,SRH,,,,,,,
Virender Sehwag,DC,DC,DC,DC,DC,DC,PK,PK,,,,,,,,,,
Sam Curran,,,,,,,,,,,,PK,CSK,CSK,,PK,PK,CSK
Bhargav Bhatt,,,,PK,PK,PK,,,,,,,,,,,,
Musheer Khan,,,,,,,,,,,,,,,,,,PK
Ben Dwarshuis,,,,,,,,,,,PK,,,DC,,,,
Mujeeb Ur Rahman,,,,,,,,,,,PK,PK,PK,SRH,,,,MI
Tajinder Singh,,,,,,,,,,,MI,,PK,,,,,
Jitesh Sharma,,,,,,,,,MI,MI,,,,,PK,PK,PK,RCB
Sunny Singh,,,,PK,PK,PK,,,,,,,,,,,,
Aaron Hardie,,,,,,,,,,,,,,,,,,PK
Shalabh Srivastava,,,PK,PK,PK,,,,,,,,,,,,,
Swapnil Singh,MI,,,,,,,,PK,PK,,,,,,LSG,RCB,RCB
Glenn Maxwell,,,,,DC,MI,PK,PK,PK,PK,DC,,PK,RCB,RCB,RCB,RCB,PK
Ramesh Powar,PK,PK,PK,,PK,,,,,,,,,,,,,
Lakshmipathy Balaji,CSK,CSK,CSK,KKR,KKR,KKR,PK,,,,,,,,,,,
Ravi Bishnoi,,,,,,,,,,,,,PK,PK,LSG,LSG,LSG,LSG
Murali Kartik,KKR,KKR,KKR,,,RCB,PK,,,,,,,,,,,
Manan Vohra,,,,,,PK,PK,PK,PK,PK,RCB,RR,RR,RR,LSG,LSG,,
Sheldon Cottrell,,,,,,,,,,,,,PK,,,,,
Sunny Sohal,PK,PK,,,,RCB,,,,,,,,,,,,
Baltej Dhanda,,,,,,,,,,,,,,,PK,PK,,
Ankit Rajpoot,,,,,,CSK,,,KKR,KKR,PK,PK,RR,,LSG,,,
Bhanuka Rajapaksa,,,,,,,,,,,,,,,PK,PK,,
Cheteshwar Pujara,KKR,,KKR,RCB,RCB,RCB,PK,,,,,,,CSK,,,,
Vikramjeet Malik,,PK,PK,PK,PK,RR,RR,RR,RCB,,,,,,,,,
Darren Sammy,,,,,,SRH,SRH,RCB,,PK,,,,,,,,
Jalaj Saxena,,,,,,MI,MI,RCB,,,,DC,,PK,,,,
Prerak Mankad,,,,,,,,,,,,,,,PK,LSG,LSG,
Brett Lee,PK,PK,PK,KKR,KKR,KKR,,,,,,,,,,,,
Liam Livingstone,,,,,,,,,,,,RR,,RR,PK,PK,PK,RCB
Chris Jordan,,,,,,,,,RCB,SRH,SRH,,PK,PK,CSK,MI,,
Matthew William Short,,,,,,,,,,,,,,,,PK,,
Shivam singh,,,,,,,,,,,,,,,,PK,PK,
Rilee Rossouw,,,,RCB,RCB,,RCB,RCB,,,,,,,,DC,PK,
Adil Rashid,,,,,,,,,,,,,,PK,,SRH,,
Siddharth Chitnis,MI,RR,,PK,PK,PK,,,,,,,,,,,,
Nathan Rimmington,,,,PK,PK,,,,,,,,,,,,,
George Bailey,,CSK,CSK,CSK,CSK,,PK,PK,,,,,,,,,,
Nitin Saini,PK,,,PK,PK,PK,,,,,,,,,,,,
Krishnappa Gowtham,,,,,,,,,,MI,RR,RR,PK,CSK,LSG,LSG,LSG,
Manvinder Bisla,,,PK,KKR,KKR,KKR,KKR,RCB,,,,,,,,,,
Dawid Malan,,,,,,,,,,,,,,PK,,,,
Shreyas Iyer,,,,,,,,DC,DC,DC,DC,DC,DC,DC,KKR,KKR,KKR,PK
Pravin Dubey,,,,,,,,,RCB,RCB,,,DC,DC,DC,DC,DC,PK
Writtick Chatterjee,,,,,,,,,,,,,,,PK,,,
Ryan McLaren,,MI,MI,PK,,KKR,,,,,,,,,,,,
Marcus Stoinis,,,,,,,,DC,PK,PK,PK,RCB,DC,DC,LSG,LSG,LSG,PK
Prabhsimran Singh,,,,,,,,,,,,PK,PK,PK,PK,PK,PK,PK
Yuvraj Singh,PK,PK,PK,,,,RCB,DC,SRH,SRH,PK,MI,,,,,,
Yash Thakur,,,,,,,,,,,,,,,,LSG,LSG,PK
Saurabh Kumar,,,,,,,,,,,,,,PK,,,,
Harshal Patel,,,,,RCB,RCB,RCB,RCB,RCB,RCB,DC,DC,DC,RCB,RCB,RCB,PK,SRH
Shanthakumaran Sreesanth,PK,PK,PK,,RR,RR,,,,,,,,,,,,
Moises Henriques,,KKR,DC,MI,,RCB,SRH,SRH,SRH,SRH,,PK,,PK,,,,
Murali Vijay,,CSK,CSK,CSK,CSK,CSK,DC,PK,PK,,CSK,CSK,CSK,,,,,
Harmeet Singh Bansal,,,,,PK,PK,,,,,,,,,,,,
Hashim Amla,,,,,,,,,PK,PK,,,,,,,,
Ashutosh Sharma,,,,,,,,,,,,,,,,,PK,DC
Ansh Patel,,,,,,,,,,,,,,,PK,,,
Thisara Perera,,,CSK,,,SRH,PK,PK,,,,,,,,,,
Paul Valthaty,,,,PK,PK,PK,,,,,,,,,,,,
Michael Neser,,,,,,PK,,,,,,,,,,,,
Aaron Finch,,,RR,DC,DC,,SRH,MI,,,PK,,RCB,,KKR,,,
Rishi Dhawan,PK,,,,,MI,PK,PK,PK,KKR,,,,,PK,PK,PK,
Josh Inglis,,,,,,,,,,,,,,,,,,PK
Priyansh Arya,,,,,,,,,,,,,,,,,,PK
Benny Howell,,,,,,,,,,,,,,,PK,,,
Manoj Tiwary,DC,DC,KKR,KKR,KKR,KKR,DC,DC,,,PK,,,,,,,
Murugan Ashwin,,,,,,,,,,DC,RCB,PK,PK,PK,MI,RR,,
Farhaan Behardien,,,,,,,,,PK,,,,,,,,,
Harnoor Pannu,,,,,,,,,,,,,,,,,,PK
Rahul Chahar,,,,,,,,,,,MI,MI,MI,MI,PK,PK,PK,SRH
Nathan Ellis,,,,,,,,,,,,,,PK,PK,PK,PK,CSK
Kumar Sangakkara,PK,PK,PK,,,SRH,,,,,,,,,,,,
Ryan Harris,,,,PK,PK,PK,,,,,,,,,,,,
Abhishek Nayar,MI,MI,MI,PK,PK,,RR,RR,,,,,,,,,,
Anureet Singh,,KKR,,,,,PK,PK,PK,PK,RR,,,,,,,
Raj Angad Bawa,,,,,,,,,,,,,,,PK,PK,,MI
Andrew Tye,,,,,,,,CSK,,,PK,PK,RR,RR,LSG,,,
Mayank Agarwal,,,,RCB,RCB,RCB,DC,DC,DC,,PK,PK,PK,PK,PK,SRH,SRH,
Vyshak Vijaykumar,,,,,,,,,,,,,,,,RCB,RCB,PK
Axar Patel,,,,,,MI,PK,PK,PK,PK,PK,DC,DC,DC,DC,DC,DC,DC
