Player Name,2011,2012,2013,2018,2019,2020,2021,2022,2023,2024
Jordan Cox,,,,,,,Hobart Hurricanes,,Melbourne Renegades,
Fergus O&s;Neill,,,,,,,,,Melbourne Renegades,Melbourne Renegades
Akeal Hosein,,,,,,,,Melbourne Renegades,Melbourne Renegades,Sydney Sixers
Scott Edwards,,,,,,,,,Melbourne Renegades,
Joe Burns,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Melbourne Stars,Melbourne Stars,Melbourne Stars,
Hilton Cartwright,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Brody Couch,,,,,,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Nick Larkin,,,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,
Glenn Maxwell,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Marcus Stoinis,,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Beau Webster,,,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Scott Boland,,,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,,Melbourne Stars,Melbourne Stars
Nathan Coulter-Nile,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,
Usama Mir,,,,,,,,,Melbourne Stars,Melbourne Stars
Joel Paris,,,Perth Scorchers,,Perth Scorchers,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Melbourne Stars,Melbourne Stars
Haris Rauf,,,,,Melbourne Stars,Melbourne Stars,Melbourne Stars,,Melbourne Stars,
Liam Dawson,,,,,,,,,Melbourne Stars,
Imad Wasim,,,,,,Melbourne Renegades,,,Melbourne Stars,
Corey Rocchiccioli,,,,,,,,Melbourne Renegades,Melbourne Stars,
Sam Harper,,,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Stars,Melbourne Stars
Thomas Rogers,,,,,Hobart Hurricanes,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Campbell Kellaway,,,,,,,,Melbourne Stars,Melbourne Stars,Melbourne Stars
Olly Stone,,,,,,,,,Melbourne Stars,
Jonathan Merlo,,,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Renegades,,Melbourne Stars,Melbourne Stars
Mark Steketee,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Melbourne Stars,Melbourne Stars
Daniel Lawrence,,,,,,Brisbane Heat,,,Melbourne Stars,Melbourne Stars
Peter Handscomb,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,Melbourne Renegades,Melbourne Stars,Melbourne Stars
Ashton Agar,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Jason Behrendorff,,Perth Scorchers,Perth Scorchers,Perth Scorchers,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Cooper Connolly,,,,,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Aaron Hardie,,,,Perth Scorchers,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Nick Hobson,,,,Perth Scorchers,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Josh Inglis,,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Matthew Kelly,,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Mitchell Marsh,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Lance Morris,,,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Jhye Richardson,,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Ashton Turner,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Andrew Tye,,,Sydney Thunder,Perth Scorchers,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Zak Crawley,,,,,,,,Hobart Hurricanes,Perth Scorchers,
Laurie Evans,,,,,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Melbourne Renegades
Stephen Eskinazi,,,,,,,,Perth Scorchers,Perth Scorchers,
