Embedding_1,Embedding_2,Embedding_3,Embedding_4,Embedding_5,Embedding_6,Embedding_7,Embedding_8
2.5847735,1.1142635,3.5003335,4.2532053,3.8349667,2.2047637,10.359976,2.7133155
13.584396,2.6184134,6.790177,1.1714549,6.1575603,5.706203,2.7512212,7.0825562
13.538889,2.7263489,6.7812104,1.1608572,6.0718966,5.672544,2.6441085,7.1491113
13.593921,2.6664472,6.783856,1.2357949,6.1205263,5.603865,2.6962895,7.102458
8.259574,9.031037,4.705869,3.4943686,2.373132,6.0187383,2.0300107,7.7126813
9.605669,9.17143,5.2248855,2.9025786,2.604297,6.3823094,2.1031175,7.5872884
2.1171827,1.425019,3.9183202,5.004285,3.4628654,2.0744488,9.4605055,3.1879652
8.6721115,8.961214,4.964106,3.2190306,2.3675215,6.0756354,2.066181,7.676188
2.5396333,1.2335436,3.6609192,4.432421,3.5135005,1.5507553,10.216882,2.5694034
9.423648,9.104212,5.1793923,2.9316044,2.5216165,6.3142595,2.1186297,7.5965934
2.4778361,1.3210993,3.7640882,4.5666857,3.326765,1.2396011,10.099372,2.5486107
8.833293,8.946748,5.061217,3.0988364,2.4029298,6.159123,1.9929581,7.7062917
13.709587,3.5538852,6.950762,0.990066,5.870007,6.887358,1.7304444,8.054218
8.52746,8.937483,4.91496,3.284487,2.3332222,5.9929996,2.0510912,7.6958995
9.041122,9.747335,4.4679937,3.5129814,2.6539915,6.446507,2.3330538,7.4058475
8.76831,8.941787,4.970003,3.1886547,2.439016,6.17467,1.9843539,7.738965
13.248193,4.301035,7.4816623,2.129428,4.856483,5.5587525,0.7375963,7.3950534
5.8356433,8.231793,4.342275,4.2564178,1.9929734,4.8525877,2.2429178,7.5589023
7.3620396,8.459568,4.640135,3.7286906,2.3016887,5.535726,2.0739467,7.687433
13.563597,3.1458302,6.6904864,1.2569336,5.8786244,5.6023197,2.251194,7.386292
13.178035,4.2068787,7.412952,1.8805237,4.992391,6.1477838,0.97129214,7.6971235
7.187537,8.990378,4.253436,4.041331,2.0814548,5.67055,1.838588,8.049713
13.187045,4.236191,7.41359,2.087422,4.92784,5.6549034,0.7840242,7.3417854
2.2640724,1.3423558,3.9225256,4.819278,3.232129,1.1376854,9.85757,2.7182987
13.770123,3.574099,6.6948576,1.0179825,5.914267,5.907415,1.881964,7.794106
0.47510967,2.4363875,6.3153563,5.7548294,2.4160738,2.82711,6.5875535,4.724667
0.38685796,2.416638,6.625034,5.611804,2.3565526,2.7149155,6.1828165,4.7737427
0.5954517,2.5894153,6.386547,5.8946652,2.8813872,2.6803422,6.162552,5.4289575
0.4477493,2.4448597,6.6617584,5.6671877,2.3519073,2.7254398,6.0832086,4.9110208
