ID,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
59475,1.05,23.43,7.43,20.03,7.34,28.42,6.78,0.857,18.8,7.04,1.478,23.27,7.42,0.676,21.82,7.6,1.166,21.19,7.14,0.729,20.81,7.42,22.61,7.33,20.83,7.1,17.42,6.42,24.17,7.96
59480,2,25.78,8.44,18.07,7.53,0,0,0,38.6,9.65,1,17.35,7.11,1,18.27,7.88,0,26.33,7.9,2,22.03,8.38,20.05,7.4,0,0,0,0,0,0
59497,1,19.32,6.95,17.76,6.6,21.98,6.96,1,19.73,6.89,0.562,17.71,6.88,1.777,20.1,7.21,1,19.2,6.32,1.28,19.89,7.03,18.51,6.56,18.96,6.67,18.64,6.57,20.63,7.4
59518,0.833,23.77,7.99,24.64,8.13,26.34,8.32,0.666,25.01,7.89,1.45,24.67,8.28,0.689,23.65,8.18,1.5,25.58,7.93,0.68,24.13,8.07,25.01,8.14,25.07,7.95,24.82,7.53,24.15,8.47
59545,0.707,19.78,7.29,24.04,7.73,25.58,8.35,1.84,24.47,7.93,0.954,20.83,7.29,1.047,22.81,7.62,0.543,19.33,7.26,1.343,23.54,7.76,20.1,7.28,22.15,7.55,0,0,16.88,7.27
59558,1,17.31,6.96,15.66,6.61,0,0,0,18.52,7.1,0,24.16,7.56,0,18,7.2,0,12.71,6.8,3,18.38,7.12,14.73,6.45,0,0,0,0,0,0
208543,0.809,19.73,6.88,21.9,6.95,18.9,7.28,1.187,20.26,6.85,1.625,22.43,7.68,0.615,20.85,7.39,0.842,18.42,6.58,0.931,20.48,7.05,19.85,6.99,20.16,7.07,18.21,6.63,21.91,7.23
208544,1.419,25.19,7.78,21.39,7.53,16.8,6.85,1.25,25.08,7.89,1.178,21.41,7.34,0.848,22.24,7.58,0.8,19.77,7.44,0.955,23.06,7.68,20.89,7.37,22.93,7.54,18.11,6.82,21.96,7.59
236761,1.112,22.7,7.57,22.36,7.54,22.22,7.24,0.808,21.17,7.41,1.187,22.8,7.6,0.841,23.01,7.77,1.236,22.77,7.2,0.829,22.34,7.64,22.79,7.46,22.92,7.53,22.64,7.65,22.11,7.54
247416,3,20.32,7.11,12.25,5.4,0,0,0,19.72,7.15,0,0,0,0,0,0,0,12.52,5.36,0,19.72,7.15,12.52,5.36,0,0,0,0,0,0
