ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,MaxWind,Tournament,BattingOrder,Role,Country,Batting Hand,Age
390484,6,127.1708683,1,0,Kings XI,Indore,field,night,0,10,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,15.13333333,65,0,0,6,2.1893,2.2221,1.7912,1.6513,40.8,28.4,22.1,IPL,4,BOWL,India,RHB,27
446763,6,131.3405797,1,1,Kings XI,Indore,field,night,0,19,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,21.96969697,39,0,2,4,2.3917,1.7959,1.3382,2.5491,40.8,28.4,22.1,IPL,3,BAT,India,RHB,27
604527,6,137.7802691,2,1,MI,Wankhede,field,daynight,1,57,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,28.58139535,49,0,8,2,2.3917,3.5007,3.811,1.0927,29.0,28.3,24.5,IPL,2,ALL,Indian,LHB,25
669855,6,135.8208955,1,1,Kings XI,Indore,field,night,0,-4,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,20.22222222,24,0,0,1,2.3917,2.2221,1.3382,1.0927,40.8,28.4,22.1,IPL,3,BOWL,England,RHB,23
344580,6,110.2564103,1,1,Kings XI,Indore,field,night,0,42,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,16.125,11,0,0,2,1.9655,1.4939,1.3382,1.0927,40.8,28.4,22.1,IPL,4,BAT,India,RHB,25
276298,6,163.1834751,2,1,MI,Wankhede,field,daynight,1,17,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,23.28901734,232,1,13,16,3.3753,2.6483,4.6406,2.8057,29.0,28.3,24.5,IPL,3,ALL,West Indies,RHB,30
398439,6,130.1874596,2,1,RR,Indore,field,night,1,61,1,1.744,8.17,21.99,1.653,8.26,22.62,0.573,8.17,25.66,24.86419753,88,2,10,3,2.7039,2.6483,3.362,1.0927,40.8,28.4,22.1,IPL,2,BAT,India,RHB,27
308967,6,141.4923116,1,1,Kings XI,Indore,field,night,0,97,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,27.78712871,252,0,32,12,3.5193,3.0745,3.5814,3.2319,40.8,28.4,22.1,IPL,1,WK,England,RHB,28
625371,6,127.6724792,1,0,KKR,Wankhede,field,daynight,0,71,1,1.25,8.32,25.62,0.724,8.41,27.14,0.732,8.29,26.23,21.87012987,103,0,6,6,2.8721,2.6483,4.2372,3.6581,29.0,28.3,24.5,IPL,2,ALL,India,RHB,25
277916,6,118.648716,1,1,Kings XI,Indore,field,night,0,9,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,29.55900621,180,1,35,17,3.4865,3.5007,2.8816,4.0573,40.8,28.4,22.1,IPL,2,BAT,India,RHB,30
